Agence,NomAgence,Référence,Type,Arrêt,Adresse,Ville,Secteur Inter.,Nom Client,Nom Technicien,adresse_complete,longitude,latitude
1,Agence Genas,AF259021,Ascenseur,Non,3 CHEMIN DES RAZES,STE FOY LES LYON,71,LES HAUTS DU BOIS,Kenzy CHABBI,"3 CHEMIN DES RAZES, STE FOY LES LYON, France",4.7848119,45.7357583
1,Agence Genas,AF259022,Ascenseur,Non,5 CHEMIN DES RAZES,STE FOY LES LYON,71,LES HAUTS DU BOIS,Kenzy CHABBI,"5 CHEMIN DES RAZES, STE FOY LES LYON, France",4.7846526,45.7358762
1,Agence Genas,AF259023,Ascenseur,Non,7 CHEMIN DES RAZES,STE FOY LES LYON,71,LES HAUTS DU BOIS,Kenzy CHABBI,"7 CHEMIN DES RAZES, STE FOY LES LYON, France",4.7844696,45.7359635
1,Agence Genas,AF259024,Ascenseur,Non,9 CHEMIN DES RAZES,STE FOY LES LYON,71,LES HAUTS DU BOIS,Kenzy CHABBI,"9 CHEMIN DES RAZES, STE FOY LES LYON, France",4.7840938,45.7361292
1,Agence Genas,AF259025,Ascenseur,Non,11 CHEMIN DES RAZES,STE FOY LES LYON,71,LES HAUTS DU BOIS,Kenzy CHABBI,"11 CHEMIN DES RAZES, STE FOY LES LYON, France",4.7842141,45.7362593
1,Agence Genas,AF259026,Ascenseur,Non,13 CHEMIN DES RAZES,STE FOY LES LYON,71,LES HAUTS DU BOIS,Kenzy CHABBI,"13 CHEMIN DES RAZES, STE FOY LES LYON, France",4.7843196,45.7363733
1,Agence Genas,AF259027,Ascenseur,Non,2 RUE LEON GRANIER,STE FOY LES LYON,71,LES HAUTS DU BOIS,Kenzy CHABBI,"2 RUE LEON GRANIER, STE FOY LES LYON, France",4.7850279,45.7354025
1,Agence Genas,AF259028,Ascenseur,Non,4 RUE LEON GRANIER,STE FOY LES LYON,71,LES HAUTS DU BOIS,Kenzy CHABBI,"4 RUE LEON GRANIER, STE FOY LES LYON, France",4.7849015,45.7352698
1,Agence Genas,AF259029,Ascenseur,Non,6 RUE LEON GRANIER,STE FOY LES LYON,71,LES HAUTS DU BOIS,Kenzy CHABBI,"6 RUE LEON GRANIER, STE FOY LES LYON, France",4.7847602,45.7351635
1,Agence Genas,AF259030,Ascenseur,Non,8 RUE LEON GRANIER,STE FOY LES LYON,71,LES HAUTS DU BOIS,Kenzy CHABBI,"8 RUE LEON GRANIER, STE FOY LES LYON, France",4.784357,45.735433
1,Agence Genas,AF259031,Ascenseur,Non,10 RUE LEON GRANIER,STE FOY LES LYON,71,LES HAUTS DU BOIS,Kenzy CHABBI,"10 RUE LEON GRANIER, STE FOY LES LYON, France",4.7842481,45.735311
1,Agence Genas,AF259032,Ascenseur,Non,12 RUE LEON GRANIER,STE FOY LES LYON,71,LES HAUTS DU BOIS,Kenzy CHABBI,"12 RUE LEON GRANIER, STE FOY LES LYON, France",4.7841249,45.7351731
1,Agence Genas,AF259039,Ascenseur,Non,124 COURS GAMBETTA,LYON,45,SDC LE LOMBARD - PAVILLON GAMBETTA,Mohamed BESSAFI,"124 COURS GAMBETTA, LYON, France",4.8555798,45.7508235
1,Agence Genas,AF259040,Ascenseur,Non,124 COURS GAMBETTA,LYON,45,SDC LE LOMBARD - PAVILLON GAMBETTA,Mohamed BESSAFI,"124 COURS GAMBETTA, LYON, France",4.8555798,45.7508235
